"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/04/2023","AQS","260650018","1","1.2","ppb","1","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/05/2023","AQS","260650018","1","0.9","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/06/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/07/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/08/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/09/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","19","79.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/10/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/11/2023","AQS","260650018","1","1.1","ppb","1","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/12/2023","AQS","260650018","1","0.7","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/13/2023","AQS","260650018","1","0.7","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/14/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"02/15/2023","AQS","260650018","1","0.5","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
