"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/25/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/26/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/27/2023","AQS","260810020","1","0.6","ppm","7","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"02/28/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/01/2023","AQS","260810020","1","0.6","ppm","7","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/02/2023","AQS","260810020","1","0.8","ppm","9","GR-MONROE","9","38.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/16/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","5","21.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/17/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/18/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/19/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/20/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/21/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/22/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/23/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/24/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/25/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/26/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/27/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/28/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/29/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/30/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"03/31/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/01/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/02/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/03/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/04/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/05/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/06/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/07/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/08/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/09/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/10/2023","AQS","260810020","1","0.6","ppm","7","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/11/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/12/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/13/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","21","88.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/14/2023","AQS","260810020","1","0.6","ppm","7","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/15/2023","AQS","260810020","1","0.7","ppm","8","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/16/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/17/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/18/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/19/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/20/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/21/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/22/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/23/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/24/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/25/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/26/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/27/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/28/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/29/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"04/30/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/01/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/02/2023","AQS","260810020","1","0.2","ppm","2","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/03/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/04/2023","AQS","260810020","1","0.5","ppm","6","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/05/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/06/2023","AQS","260810020","1","0.3","ppm","3","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/07/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
"05/08/2023","AQS","260810020","1","0.4","ppm","5","GR-MONROE","24","100.0000","42101","Carbon monoxide","093","24340","Grand Rapids-Wyoming, MI","26","Michigan","081","Kent","42.984173","-85.671339"
