Date,Site ID,Local Site Name,AQS Parameter Description,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name_ozone,AQS Parameter Description_ozone,Daily Max 8-hour Ozone Concentration,Units_ozone,Daily AQI Value_ozone,Local Site Name_so2,AQS Parameter Description_so2,Daily Max 1-hour SO2 Concentration,Units_so2,Daily AQI Value_so2,Local Site Name_no2,AQS Parameter Description_no2,Daily Max 1-hour NO2 Concentration,Units_no2,Daily AQI Value_no2,Local Site Name_co,Site Latitude,Site Longitude,AQS Parameter Description_co,Daily Max 8-hour CO Concentration,Units_co,Daily AQI Value_co,Local Site Name_pm10,AQS Parameter Description_pm10,Daily Mean PM10 Concentration,Units_pm10,Daily AQI Value_pm10,Local Site Name_pb,AQS Parameter Description_pb,Daily Mean Pb Concentration,Units_pb,Daily AQI Value_pb
03/05/2023,260050003,Holland,PM2.5 - Local Conditions,5.8,ug/m3 LC,32,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2023,260050003,Holland,PM2.5 - Local Conditions,4.8,ug/m3 LC,27,Holland,Ozone,0.039,ppm,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2023,260050003,Holland,PM2.5 - Local Conditions,3.7,ug/m3 LC,21,Holland,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2023,260050003,Holland,PM2.5 - Local Conditions,3.1,ug/m3 LC,17,Holland,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2023,260050003,Holland,PM2.5 - Local Conditions,1.5,ug/m3 LC,8,Holland,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2023,260050003,Holland,PM2.5 - Local Conditions,4.5,ug/m3 LC,25,Holland,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2023,260050003,Holland,PM2.5 - Local Conditions,3.1,ug/m3 LC,17,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2023,260050003,Holland,PM2.5 - Local Conditions,5.3,ug/m3 LC,29,Holland,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/2023,260050003,Holland,PM2.5 - Local Conditions,2.5,ug/m3 LC,14,Holland,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/14/2023,260050003,Holland,PM2.5 - Local Conditions,0.5,ug/m3 LC,3,Holland,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2023,260050003,Holland,PM2.5 - Local Conditions,3.8,ug/m3 LC,21,Holland,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2023,260050003,Holland,PM2.5 - Local Conditions,6.8,ug/m3 LC,38,Holland,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2023,260050003,Holland,PM2.5 - Local Conditions,2.1,ug/m3 LC,12,Holland,Ozone,0.041,ppm,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2023,260050003,Holland,PM2.5 - Local Conditions,0.8,ug/m3 LC,4,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/19/2023,260050003,Holland,PM2.5 - Local Conditions,1.5,ug/m3 LC,8,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/20/2023,260050003,Holland,PM2.5 - Local Conditions,4.1,ug/m3 LC,23,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/2023,260050003,Holland,PM2.5 - Local Conditions,8.7,ug/m3 LC,48,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/22/2023,260050003,Holland,PM2.5 - Local Conditions,9.1,ug/m3 LC,51,Holland,Ozone,0.039,ppm,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2023,260050003,Holland,PM2.5 - Local Conditions,6.3,ug/m3 LC,35,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/24/2023,260050003,Holland,PM2.5 - Local Conditions,3.0,ug/m3 LC,17,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/25/2023,260050003,Holland,PM2.5 - Local Conditions,3.7,ug/m3 LC,21,Holland,Ozone,0.05,ppm,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2023,260050003,Holland,PM2.5 - Local Conditions,4.9,ug/m3 LC,27,Holland,Ozone,0.044,ppm,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/27/2023,260050003,Holland,PM2.5 - Local Conditions,3.6,ug/m3 LC,20,Holland,Ozone,0.049,ppm,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/28/2023,260050003,Holland,PM2.5 - Local Conditions,5.2,ug/m3 LC,29,Holland,Ozone,0.05,ppm,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2023,260050003,Holland,PM2.5 - Local Conditions,5.4,ug/m3 LC,30,Holland,Ozone,0.05,ppm,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/30/2023,260050003,Holland,PM2.5 - Local Conditions,4.5,ug/m3 LC,25,Holland,Ozone,0.047,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2023,260050003,Holland,PM2.5 - Local Conditions,8.9,ug/m3 LC,49,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2023,260050003,Holland,PM2.5 - Local Conditions,3.2,ug/m3 LC,18,Holland,Ozone,0.045,ppm,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2023,260050003,Holland,PM2.5 - Local Conditions,2.5,ug/m3 LC,14,Holland,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2023,260050003,Holland,PM2.5 - Local Conditions,3.5,ug/m3 LC,19,Holland,Ozone,0.043,ppm,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2023,260050003,Holland,PM2.5 - Local Conditions,1.9,ug/m3 LC,11,Holland,Ozone,0.04,ppm,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2023,260050003,Holland,PM2.5 - Local Conditions,4.7,ug/m3 LC,26,Holland,Ozone,0.042,ppm,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2023,260050003,Holland,PM2.5 - Local Conditions,3.1,ug/m3 LC,17,Holland,Ozone,0.046,ppm,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2023,260050003,Holland,PM2.5 - Local Conditions,3.1,ug/m3 LC,17,Holland,Ozone,0.048,ppm,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2023,260050003,Holland,PM2.5 - Local Conditions,7.2,ug/m3 LC,40,Holland,Ozone,0.052,ppm,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/09/2023,260050003,Holland,PM2.5 - Local Conditions,8.3,ug/m3 LC,46,Holland,Ozone,0.057,ppm,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/2023,260050003,Holland,PM2.5 - Local Conditions,7.0,ug/m3 LC,39,Holland,Ozone,0.064,ppm,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2023,260050003,Holland,PM2.5 - Local Conditions,7.2,ug/m3 LC,40,Holland,Ozone,0.065,ppm,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/14/2023,260050003,Holland,PM2.5 - Local Conditions,11.0,ug/m3 LC,55,Holland,Ozone,0.073,ppm,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/15/2023,260050003,Holland,PM2.5 - Local Conditions,11.0,ug/m3 LC,55,Holland,Ozone,0.056,ppm,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/16/2023,260050003,Holland,PM2.5 - Local Conditions,3.6,ug/m3 LC,20,Holland,Ozone,0.031,ppm,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
