"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/16/2023","AQS","260050003","1","0.8","ug/m3 LC","4","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/17/2023","AQS","260050003","1","1.3","ug/m3 LC","7","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/18/2023","AQS","260050003","1","3.5","ug/m3 LC","19","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/19/2023","AQS","260050003","1","3.6","ug/m3 LC","20","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/20/2023","AQS","260050003","1","5.5","ug/m3 LC","31","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/21/2023","AQS","260050003","1","4.9","ug/m3 LC","27","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/22/2023","AQS","260050003","1","3.7","ug/m3 LC","21","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/23/2023","AQS","260050003","1","2.7","ug/m3 LC","15","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/24/2023","AQS","260050003","1","1.8","ug/m3 LC","10","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"02/25/2023","AQS","260050003","1","7.1","ug/m3 LC","39","Holland","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
