"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/19/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"03/25/2023","AQS","261470031","1","0.011","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"03/31/2023","AQS","261470031","1","0.063","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"04/06/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"04/12/2023","AQS","261470031","1","0.013","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"04/18/2023","AQS","261470031","1","0","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"04/24/2023","AQS","261470031","1","0.002","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"04/30/2023","AQS","261470031","1","0.001","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"05/06/2023","AQS","261470031","1","0.012","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"05/12/2023","AQS","261470031","1","0.012","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
"05/18/2023","AQS","261470031","1","0.03","ug/m3 LC",".","PORT HURON-RURAL","1","100.0000","14129","Lead (TSP) LC","189","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9820930888109","-82.4500804969269"
